num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
4,just_attention,0.9068181818181819,0.9145833333333334,0.09594929503456943,0.09967394761588073,0.9205357142857142,0.9145833333333333,0.9064556277056277
4,countvectorizer,0.7856060606060606,0.8083333333333333,0.0873711828901995,0.08579691784155835,0.8324999999999998,0.8083333333333332,0.7830753968253968
4,doc2vec_dbow,0.6643939393939394,0.6458333333333334,0.1411634231286021,0.1750495961466667,0.6348809523809524,0.6458333333333333,0.6227236652236653
4,doc2vec_dm,0.8553030303030302,0.8479166666666667,0.09125250792181112,0.09178496154962787,0.88625,0.8479166666666667,0.8507539682539682
4,word2vec_cbow,0.8628787878787879,0.8583333333333334,0.10081452024938146,0.10408329997330663,0.8845833333333333,0.8583333333333334,0.8514087301587302
4,word2vec_sg,0.8969696969696971,0.9020833333333333,0.07562108917253198,0.0779790303008871,0.9308333333333334,0.9020833333333333,0.8958333333333333
4,fasttext_sg,0.8803030303030303,0.8729166666666666,0.06523954588366963,0.08092885249814596,0.8937499999999999,0.8729166666666667,0.8691666666666666
4,fasttext_cbow,0.8613636363636363,0.8645833333333334,0.09837114648601676,0.10875319280115157,0.8570833333333334,0.8645833333333333,0.8501388888888888
5,lstm_with_attention,0.776923076923077,0.7799999999999999,0.0986933104145833,0.09597453365925313,0.8230000000000001,0.78,0.7698730158730159
5,just_attention,0.8736263736263735,0.8716666666666665,0.058613781771844356,0.07073031724640981,0.8799999999999999,0.8716666666666667,0.8571904761904762
5,countvectorizer,0.7571428571428572,0.7833333333333333,0.14333815890604656,0.14220486005134358,0.7930476190476191,0.7833333333333333,0.750095238095238
5,doc2vec_dbow,0.660989010989011,0.6533333333333333,0.20243431580617935,0.22370615647416692,0.6900000000000001,0.6533333333333333,0.6406825396825397
5,doc2vec_dm,0.8884615384615385,0.8966666666666667,0.07657101537845393,0.07218802609235904,0.9179999999999999,0.8966666666666667,0.8869523809523809
5,word2vec_cbow,0.8142857142857143,0.8166666666666667,0.0956990815695703,0.10723805294763607,0.819,0.8166666666666667,0.7907936507936508
5,word2vec_sg,0.8664835164835166,0.8700000000000001,0.07176800162495446,0.0631576510716547,0.889,0.8700000000000001,0.860936507936508
5,fasttext_sg,0.8516483516483516,0.8533333333333333,0.07276849727975078,0.07702813338860895,0.8860000000000001,0.8533333333333333,0.8505396825396826
5,fasttext_cbow,0.8505494505494505,0.8583333333333332,0.09490714546394025,0.09668103341515451,0.8703333333333333,0.8583333333333334,0.8413174603174604
6,lstm_with_attention,0.8275,0.7999999999999999,0.10448617665084274,0.11062393195411042,0.8303571428571428,0.7999999999999999,0.7926370851370851
6,just_attention,0.8333333333333334,0.8277777777777777,0.10852547064066473,0.107797821732957,0.8403571428571429,0.8277777777777778,0.8148460798460797
6,countvectorizer,0.7283333333333333,0.7458333333333333,0.13166666666666668,0.1245439210544013,0.7320238095238095,0.7458333333333335,0.6993963443963445
6,doc2vec_dbow,0.6024999999999999,0.5902777777777778,0.12671325897474187,0.14289365163999534,0.5998809523809523,0.5902777777777778,0.5624963924963925
6,doc2vec_dm,0.82125,0.8152777777777779,0.1115927927282443,0.11554520519885039,0.8181349206349205,0.8152777777777778,0.7980603655603656
6,word2vec_cbow,0.7470833333333333,0.725,0.13655038243975903,0.13477232745231338,0.7202777777777777,0.725,0.6959656084656084
6,word2vec_sg,0.8079166666666666,0.7916666666666666,0.1245331560045133,0.1439360712003513,0.7794444444444443,0.7916666666666669,0.7656878306878308
6,fasttext_sg,0.7875,0.7819444444444443,0.10309448201636316,0.11250000000000002,0.7799999999999999,0.7819444444444444,0.7560449735449734
6,fasttext_cbow,0.7804166666666668,0.7791666666666667,0.11998336111496646,0.1318274334963031,0.7680555555555556,0.7791666666666668,0.7530555555555556
7,lstm_with_attention,0.8099264705882353,0.8059523809523809,0.09620909794651261,0.09098385144897857,0.8235714285714285,0.8059523809523809,0.7867006802721088
7,just_attention,0.8448529411764707,0.8392857142857142,0.07944579880709166,0.08588772135917978,0.8395918367346938,0.8392857142857142,0.8160131931560504
7,countvectorizer,0.7264705882352941,0.7345238095238096,0.15580776517420852,0.17136655624315805,0.7373809523809521,0.7345238095238097,0.6937301587301589
7,doc2vec_dbow,0.5768382352941176,0.5809523809523809,0.1353864973934646,0.14781093519208338,0.5580952380952381,0.5809523809523809,0.5347619047619048
7,doc2vec_dm,0.7801470588235293,0.7785714285714286,0.12768314073935425,0.14297614091430885,0.7890476190476191,0.7785714285714286,0.7602721088435374
7,word2vec_cbow,0.7558823529411764,0.7559523809523809,0.12428645824232881,0.1253396745392513,0.7649999999999999,0.755952380952381,0.7282086167800453
7,word2vec_sg,0.8341911764705883,0.8369047619047618,0.11344101347423814,0.11652688419085541,0.8528571428571429,0.8369047619047619,0.813548752834467
7,fasttext_sg,0.7974264705882353,0.7928571428571428,0.09598968302585878,0.0967440459710002,0.8171428571428571,0.7928571428571427,0.7708049886621314
7,fasttext_cbow,0.7911764705882354,0.7857142857142856,0.06392831598575927,0.06023386019368341,0.7938095238095236,0.7857142857142856,0.7582766439909298
8,lstm_with_attention,0.741812865497076,0.7427083333333333,0.04871822389786663,0.05856538665362748,0.7527678571428572,0.7427083333333333,0.7234758297258297
8,just_attention,0.7517543859649123,0.728125,0.0950670190310597,0.09787787352103644,0.7327083333333333,0.7281249999999999,0.7036507936507936
8,countvectorizer,0.6754385964912281,0.6885416666666666,0.13857304808272264,0.12955670278341877,0.6541666666666667,0.6885416666666666,0.636904761904762
8,doc2vec_dbow,0.5880116959064329,0.5708333333333333,0.07398816450428988,0.07889206761983954,0.5516666666666666,0.5708333333333333,0.5358892496392497
8,doc2vec_dm,0.7201754385964912,0.71875,0.07265419975265229,0.06588078458684124,0.693125,0.71875,0.6796527777777778
8,word2vec_cbow,0.7307017543859649,0.7135416666666666,0.09734207535675111,0.0969645643320853,0.6795833333333333,0.7135416666666667,0.6690575396825397
8,word2vec_sg,0.7473684210526316,0.7416666666666666,0.060565148432163235,0.06485159340113911,0.733125,0.7416666666666667,0.707857142857143
8,fasttext_sg,0.7865497076023391,0.7927083333333333,0.10228904369166333,0.09310542299816198,0.7922916666666666,0.7927083333333333,0.7642063492063491
