num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
5,lstm_with_attention,0.9142424242424243,0.864857142857143,0.030374326901528984,0.0670689562909636,0.9012089215132694,0.8648571428571428,0.8701518539939593
5,just_attention,0.8964646464646464,0.8355714285714285,0.01745459221841844,0.02889248189761624,0.8565841018884498,0.8355714285714285,0.8347493243950153
5,vanilla_lstm,0.9144444444444444,0.8612857142857143,0.008733723766148388,0.03890438304880523,0.9021731601731602,0.8612857142857143,0.8670506953345234
6,lstm_with_attention,0.9212585034013607,0.8933333333333333,0.040142359414838444,0.051530432634787245,0.904879488466445,0.8933333333333334,0.8921528150119121
6,just_attention,0.9211734693877551,0.8755555555555554,0.024246774647356018,0.03378459659362835,0.9148133509003075,0.8755555555555555,0.881088304571505
6,vanilla_lstm,0.8962585034013605,0.8554365079365078,0.051038120508240206,0.07015785480312929,0.8954617604617606,0.8554365079365079,0.8520491522725241
7,lstm_with_attention,0.8756410256410255,0.8247959183673469,0.03962427819690025,0.05035236108223332,0.8549374848753731,0.8247959183673469,0.8294297765155484
7,just_attention,0.8832579185520363,0.8307482993197279,0.03475762466566293,0.03833672850739041,0.8693009509469135,0.8307482993197279,0.8379821922806094
7,vanilla_lstm,0.875339366515837,0.8122789115646258,0.03212669683257921,0.045613931596647526,0.8696361574933004,0.8122789115646258,0.8232258457815212
8,lstm_with_attention,0.878989898989899,0.8249107142857142,0.05960855123880135,0.07866863575593948,0.8637362758014931,0.8249107142857143,0.8309303890054394
8,just_attention,0.8683501683501683,0.7932142857142858,0.025890482572279463,0.020977730876902866,0.8462651358303532,0.7932142857142856,0.7995005424805899
8,vanilla_lstm,0.856969696969697,0.7923809523809524,0.047208413088608514,0.06916044251152545,0.8374418878223227,0.7923809523809524,0.800868021979292
9,lstm_with_attention,0.8402298850574713,0.7659259259259259,0.05199685413183988,0.07011937574844203,0.8307623857623857,0.7659259259259259,0.7700334271739335
9,just_attention,0.8267392619479734,0.7394444444444445,0.05709348244924236,0.0822675782101806,0.7731534391534391,0.7394444444444445,0.7401560351914962
